Query,Intent
What are the courses offered by CDAC?,"CDAC is the Centre for Development of Advanced Computing, a research and development organization in India. CDAC offers various degree courses such as PG Diploma courses in different domains such as Artificial Intelligence, Big Data, Advanced Software Development, Embedded Systems, etc.

"
What are the eligibility criteria for the PGDAC course?,"Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics OR
Graduate in any discipline of Engineering,OR
MCA, MCM, OR
Post Graduate Degree in Physics/ Mathematics / Statistics, OR
Post Graduate Degree in Management with graduation in IT / Computer Science / Computer Applications.
The candidates must have secured a minimum of 50% marks in their qualifying examination."
When is the application deadline for the PGDAC course?,"The application deadline for the PGDAC course depends on the institute and the batch you are applying for. For example, for the February 2023 batch, the online registration and application form filling started on 1st November 2022 and ended on 30th November 2022. For the September 2023 batch, the online registration and application form filling started on 1st June 2023 and ended on 30th June 2023.

You can check the official website of CDAC for the latest updates on the application deadlines. You can also check the websites of the institutes that offer PGDAC courses for their specific deadlines.

Which batch are you planning to apply for?
"
How much is the fee for the PGDAC course?,"The fee for the PG-DAC course conducted in fully physical mode of delivery is INR. 90,000/- plus GST as applicable by GOI.
The course fee for PG-DAC course delivered in the online mode is INR. 76,500/- plus GST as applicable by GOI."
What is the selection process for the PGDAC course?,The selection process to join C-DAC PG Diploma courses is through C-DAC Common Admission Test (C-CAT).
What is the  admission procedure for the PGDAC course?,"The admission procedure for the PG Diploma courses at CDAC involves the following steps:

- Register on the official website of CDAC and fill out the online application form with personal and academic details.
- Upload a scanned copy of the photograph and signature and pay the application fee through online mode.
- Appear for the C-CAT entrance exam conducted by CDAC and secure a rank based on your performance.
- Choose the preferred course and institute based on your rank and availability of seats.
- Confirm your admission by paying the first installment of the course fee.

You can find more details about the admission procedure on the official website of CDAC or the websites of the institutes that offer PGDAC courses.
"
What are the placement details after completing the PGDAC course?,"The placement details after completing the PGDAC course vary depending on the institute and the batch. However, some general information are:

- CDAC provides 100% placement assistance through its Common Campus Placement Program (CCPP) for all PGDAC students.
- The average package offered to PGDAC students is about 3.5 - 4 Lacs per annum.
- The placement process usually involves online tests, technical interviews and HR interviews by various companies.
- The companies that recruit PGDAC students include TCS, Infosys, Wipro, Cognizant, Accenture, IBM, Capgemini, etc.
"
What are the career opportunities after completing the PGDAC course?,"The career opportunities after completing the PGDAC course are diverse and promising. Some of the possible career options are:

Software Developer, Software Engineer, Software Tester, Software Analyst, Software Consultant, etc.

"
How can I apply for the PGDAC course?,"To apply for the PGDAC course, you need to follow these steps:

- Register on the official website of CDAC and fill out the online application form with personal and academic details.
- Upload a scanned copy of the photograph and signature and pay the application fee through online mode.
- Appear for the C-CAT entrance exam conducted by CDAC and secure a rank based on your performance.
- Choose the preferred course and institute based on your rank and availability of seats.
- Confirm your admission by paying the first installment of the course fee.

"
What are the eligibility criteria for the PGDBDA course?,"Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation. OR 
MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics. OR
Graduate in any discipline of Engineering, OR
Post Graduate Degree in Management  with corresponding basic degree in Computer Science, IT, Computer Application OR
Post Graduate Degree in Mathematics / Statistics / Physics OR 
MCA, MCM
The candidates must have secured a minimum of 55% marks in their qualifying examination."
When is the application deadline for the PGDBDA course?,"The application deadline for the PGDBDA course depends on the institute and the batch you are applying for. For example, for the February 2023 batch, the online registration and application form filling started on 1st November 2022 and ended on 30th November 2022. For the September 2023 batch, the online registration and application form filling started on 1st June 2023 and ended on 30th June 2023.

You can check the official website of CDAC for the latest updates on the application deadlines. You can also check the websites of the institutes that offer PGDAC courses for their specific deadlines.

Which batch are you planning to apply for?"
How much is the fee for the PGDBDA course?,"The fees for the PG-DBDA course is Rs. 97,750/- (Rupees Ninty Seven thousand Seven  hundred and Fifty only)
plus 18 % GST for online mode and Rs.1,15,000/- (Rupees One Lakh Fifteen Thousand Only) plus 18 % GST for 
physical mode of delivery. "
What is the selection process for the PGDBDA course?,The selection process to join C-DAC PG Diploma courses is through C-DAC Common Admission Test (C-CAT).
What is the admission procedure for the PGDBDA course?,"The admission procedure for the PG Diploma courses at CDAC involves the following steps:

- Register on the official website of CDAC and fill out the online application form with personal and academic details.
- Upload a scanned copy of the photograph and signature and pay the application fee through online mode.
- Appear for the C-CAT entrance exam conducted by CDAC and secure a rank based on your performance.
- Choose the preferred course and institute based on your rank and availability of seats.
- Confirm your admission by paying the first installment of the course fee.

You can find more details about the admission procedure on the official website of CDAC or the websites of the institutes that offer PGDBDA courses.
"
What are the placement details after completing the PGDBDA course?,"The placement details after completing the PGDBDA course vary depending on the institute and the batch. However, some general information are:

- CDAC provides 100% placement assistance through its Common Campus Placement Program (CCPP) for all PGDBDA students.
- The average package offered to PGDBDA students is about 4 - 5 Lacs per annum.
- The placement process usually involves online tests, technical interviews and HR interviews by various companies.
- The companies that recruit PGDBDA students include TCS, Infosys, Wipro, Cognizant, Accenture, IBM, Capgemini, etc.

You can check the official website of CDAC for more details about the placement statistics and testimonials of PGDBDA students. You can also check the websites of the institutes that offer PGDBDA courses for their specific placement records.

"
What are the career opportunities after completing the PGDBDA course?,"The career opportunities after completing the PGDBDA course are diverse and promising. Some of the possible career options are:

Big Data Analyst, Big Data Engineer, Big Data Consultant, Data Scientist, Data Manager.
"
How can I apply for the PGDBDA course?,"To apply for the PGDBDA course, you need to follow these steps:

- Register on the official website of CDAC and fill out the online application form with personal and academic details.
- Upload a scanned copy of the photograph and signature and pay the application fee through online mode.
- Appear for the C-CAT entrance exam conducted by CDAC and secure a rank based on your performance.
- Choose the preferred course and institute based on your rank and availability of seats.
- Confirm your admission by paying the first installment of the course fee.

"
What are the eligibility criteria for the PGDESD course?,"Graduate in Engineering (10+2+4 or 10+3+3 years) in IT / Computer Science / Electronics / Telecommunications / Electrical / Instrumentation, OR
MSc/MS (10+2+3+2 years) in Computer Science, IT, Electronics. 
The candidates must have secured a minimum of 55% marks in their qualifying examination."
